year,age_group,state,donations
2012,35-39,Melaka,750
2012,35-39,Negeri Sembilan,444
2012,35-39,Pahang,524
2012,35-39,Perak,872
2012,35-39,Pulau Pinang,0
2012,35-39,Sabah,684
2012,35-39,Sarawak,444
2012,35-39,Selangor,1063
2012,35-39,Terengganu,198
2012,35-39,W.P. Kuala Lumpur,4545
2012,40-44,Johor,1162
2012,40-44,Kedah,1190
2012,40-44,Kelantan,228
2012,40-44,Malaysia,9644
2012,40-44,Melaka,600
2012,40-44,Negeri Sembilan,314
2012,40-44,Pahang,490
2012,40-44,Perak,742
2012,40-44,Pulau Pinang,0
2012,40-44,Sabah,473
2012,40-44,Sarawak,376
2012,40-44,Selangor,813
2012,40-44,Terengganu,151
2012,40-44,W.P. Kuala Lumpur,3105
2012,45-49,Johor,712
2012,45-49,Kedah,791
2012,45-49,Kelantan,174
2012,45-49,Malaysia,6597
2012,45-49,Melaka,451
2012,45-49,Negeri Sembilan,211
2012,45-49,Pahang,379
2012,45-49,Perak,545
2012,45-49,Pulau Pinang,0
2012,45-49,Sabah,342
2012,45-49,Sarawak,236
2012,45-49,Selangor,550
2012,45-49,Terengganu,107
2012,45-49,W.P. Kuala Lumpur,2099
2012,50-54,Johor,458
2012,50-54,Kedah,504
2012,50-54,Kelantan,126
2012,50-54,Malaysia,4044
2012,50-54,Melaka,314
2012,50-54,Negeri Sembilan,109
2012,50-54,Pahang,268
2012,50-54,Perak,343
2012,50-54,Pulau Pinang,0
2012,50-54,Sabah,219
2012,50-54,Sarawak,162
2012,50-54,Selangor,318
2012,50-54,Terengganu,52
2012,50-54,W.P. Kuala Lumpur,1171
2012,55-59,Johor,178
2012,55-59,Kedah,197
2012,55-59,Kelantan,56
2012,55-59,Malaysia,1612
2012,55-59,Melaka,131
2012,55-59,Negeri Sembilan,50
2012,55-59,Pahang,120
2012,55-59,Perak,133
2012,55-59,Pulau Pinang,0
2012,55-59,Sabah,81
2012,55-59,Sarawak,63
2012,55-59,Selangor,115
2012,55-59,Terengganu,12
2012,55-59,W.P. Kuala Lumpur,476
2012,60-64,Johor,29
2012,60-64,Kedah,21
2012,60-64,Kelantan,4
2012,60-64,Malaysia,144
2012,60-64,Melaka,10
2012,60-64,Negeri Sembilan,6
2012,60-64,Pahang,6
2012,60-64,Perak,8
2012,60-64,Pulau Pinang,0
2012,60-64,Sabah,12
2012,60-64,Sarawak,4
2012,60-64,Selangor,13
2012,60-64,Terengganu,0
2012,60-64,W.P. Kuala Lumpur,31
2013,17-24,Johor,4604
2013,17-24,Kedah,11576
2013,17-24,Kelantan,3160
2013,17-24,Malaysia,80085
2013,17-24,Melaka,6768
2013,17-24,Negeri Sembilan,3857
2013,17-24,Pahang,3015
2013,17-24,Perak,9748
2013,17-24,Pulau Pinang,0
2013,17-24,Sabah,3916
2013,17-24,Sarawak,1946
2013,17-24,Selangor,3667
2013,17-24,Terengganu,4536
2013,17-24,W.P. Kuala Lumpur,23292
2013,25-29,Johor,2101
2013,25-29,Kedah,2237
2013,25-29,Kelantan,545
2013,25-29,Malaysia,23788
2013,25-29,Melaka,1366
2013,25-29,Negeri Sembilan,809
2013,25-29,Pahang,615
2013,25-29,Perak,2105
2013,25-29,Pulau Pinang,0
2013,25-29,Sabah,1477
2013,25-29,Sarawak,827
2013,25-29,Selangor,1393
2013,25-29,Terengganu,537
2013,25-29,W.P. Kuala Lumpur,9776
2013,30-34,Johor,1798
2013,30-34,Kedah,1808
2013,30-34,Kelantan,410
2013,30-34,Malaysia,17666
2013,30-34,Melaka,958
2013,30-34,Negeri Sembilan,591
2013,30-34,Pahang,511
2013,30-34,Perak,1514
2013,30-34,Pulau Pinang,0
2013,30-34,Sabah,1093
2013,30-34,Sarawak,607
2013,30-34,Selangor,1078
2013,30-34,Terengganu,303
2013,30-34,W.P. Kuala Lumpur,6995
2013,35-39,Johor,1384
2013,35-39,Kedah,1373
2013,35-39,Kelantan,300
2013,35-39,Malaysia,12968
2013,35-39,Melaka,700
2013,35-39,Negeri Sembilan,423
2013,35-39,Pahang,405
2013,35-39,Perak,1174
2013,35-39,Pulau Pinang,0
2013,35-39,Sabah,782
2013,35-39,Sarawak,556
2013,35-39,Selangor,858
2013,35-39,Terengganu,190
2013,35-39,W.P. Kuala Lumpur,4823
2013,40-44,Johor,1010
2013,40-44,Kedah,1016
2013,40-44,Kelantan,239
2013,40-44,Malaysia,9545
2013,40-44,Melaka,602
2013,40-44,Negeri Sembilan,284
2013,40-44,Pahang,330
2013,40-44,Perak,1115
2013,40-44,Pulau Pinang,0
2013,40-44,Sabah,552
2013,40-44,Sarawak,472
2013,40-44,Selangor,602
2013,40-44,Terengganu,151
2013,40-44,W.P. Kuala Lumpur,3172
2013,45-49,Johor,674
2013,45-49,Kedah,682
2013,45-49,Kelantan,177
2013,45-49,Malaysia,6507
2013,45-49,Melaka,390
2013,45-49,Negeri Sembilan,215
2013,45-49,Pahang,265
2013,45-49,Perak,780
2013,45-49,Pulau Pinang,0
2013,45-49,Sabah,401
2013,45-49,Sarawak,325
2013,45-49,Selangor,456
2013,45-49,Terengganu,103
2013,45-49,W.P. Kuala Lumpur,2039
2013,50-54,Johor,405
2013,50-54,Kedah,414
2013,50-54,Kelantan,90
2013,50-54,Malaysia,3990
2013,50-54,Melaka,259
2013,50-54,Negeri Sembilan,126
2013,50-54,Pahang,179
2013,50-54,Perak,541
2013,50-54,Pulau Pinang,0
2013,50-54,Sabah,270
2013,50-54,Sarawak,189
2013,50-54,Selangor,237
2013,50-54,Terengganu,49
2013,50-54,W.P. Kuala Lumpur,1231
2013,55-59,Johor,148
2013,55-59,Kedah,161
2013,55-59,Kelantan,36
2013,55-59,Malaysia,1623
2013,55-59,Melaka,111
2013,55-59,Negeri Sembilan,47
2013,55-59,Pahang,67
2013,55-59,Perak,224
2013,55-59,Pulau Pinang,0
2013,55-59,Sabah,111
2013,55-59,Sarawak,98
2013,55-59,Selangor,107
2013,55-59,Terengganu,15
2013,55-59,W.P. Kuala Lumpur,498
2013,60-64,Johor,10
2013,60-64,Kedah,21
2013,60-64,Kelantan,2
2013,60-64,Malaysia,134
2013,60-64,Melaka,9
2013,60-64,Negeri Sembilan,4
2013,60-64,Pahang,6
2013,60-64,Perak,31
2013,60-64,Pulau Pinang,0
2013,60-64,Sabah,14
2013,60-64,Sarawak,6
2013,60-64,Selangor,4
2013,60-64,Terengganu,0
2013,60-64,W.P. Kuala Lumpur,27
2014,17-24,Johor,4943
2014,17-24,Kedah,11804
2014,17-24,Kelantan,2991
2014,17-24,Malaysia,87484
2014,17-24,Melaka,6309
2014,17-24,Negeri Sembilan,2767
2014,17-24,Pahang,3510
2014,17-24,Perak,8913
2014,17-24,Pulau Pinang,4780
2014,17-24,Sabah,3442
2014,17-24,Sarawak,3298
2014,17-24,Selangor,3987
2014,17-24,Terengganu,4769
2014,17-24,W.P. Kuala Lumpur,25971
2014,25-29,Johor,2161
2014,25-29,Kedah,2318
2014,25-29,Kelantan,588
2014,25-29,Malaysia,26013
2014,25-29,Melaka,1115
2014,25-29,Negeri Sembilan,608
2014,25-29,Pahang,508
2014,25-29,Perak,1748
2014,25-29,Pulau Pinang,2713
2014,25-29,Sabah,1468
2014,25-29,Sarawak,1740
2014,25-29,Selangor,1357
2014,25-29,Terengganu,488
2014,25-29,W.P. Kuala Lumpur,9201
2014,30-34,Johor,1814
2014,30-34,Kedah,1752
2014,30-34,Kelantan,420
2014,30-34,Malaysia,21172
2014,30-34,Melaka,846
2014,30-34,Negeri Sembilan,594
2014,30-34,Pahang,474
2014,30-34,Perak,1488
2014,30-34,Pulau Pinang,3015
2014,30-34,Sabah,1078
2014,30-34,Sarawak,1272
2014,30-34,Selangor,1104
2014,30-34,Terengganu,321
2014,30-34,W.P. Kuala Lumpur,6994
2014,35-39,Johor,1448
2014,35-39,Kedah,1255
2014,35-39,Kelantan,309
2014,35-39,Malaysia,16370
2014,35-39,Melaka,706
2014,35-39,Negeri Sembilan,405
2014,35-39,Pahang,309
2014,35-39,Perak,1112
2014,35-39,Pulau Pinang,2728
2014,35-39,Sabah,834
2014,35-39,Sarawak,1214
2014,35-39,Selangor,852
2014,35-39,Terengganu,163
2014,35-39,W.P. Kuala Lumpur,5035
2014,40-44,Johor,1117
2014,40-44,Kedah,990
2014,40-44,Kelantan,277
2014,40-44,Malaysia,12096
2014,40-44,Melaka,530
2014,40-44,Negeri Sembilan,324
2014,40-44,Pahang,235
2014,40-44,Perak,842
2014,40-44,Pulau Pinang,2242
2014,40-44,Sabah,576
2014,40-44,Sarawak,989
2014,40-44,Selangor,673
2014,40-44,Terengganu,119
2014,40-44,W.P. Kuala Lumpur,3182
2014,45-49,Johor,681
2014,45-49,Kedah,660
2014,45-49,Kelantan,168
2014,45-49,Malaysia,8306
2014,45-49,Melaka,381
2014,45-49,Negeri Sembilan,235
2014,45-49,Pahang,169
2014,45-49,Perak,555
2014,45-49,Pulau Pinang,1691
2014,45-49,Sabah,373
2014,45-49,Sarawak,774
2014,45-49,Selangor,450
2014,45-49,Terengganu,79
2014,45-49,W.P. Kuala Lumpur,2090
2014,50-54,Johor,432
2014,50-54,Kedah,442
2014,50-54,Kelantan,113
2014,50-54,Malaysia,5070
2014,50-54,Melaka,244
2014,50-54,Negeri Sembilan,149
2014,50-54,Pahang,138
2014,50-54,Perak,398
2014,50-54,Pulau Pinang,827
2014,50-54,Sabah,285
2014,50-54,Sarawak,543
2014,50-54,Selangor,208
2014,50-54,Terengganu,48
2014,50-54,W.P. Kuala Lumpur,1243
2014,55-59,Johor,202
2014,55-59,Kedah,172
2014,55-59,Kelantan,36
2014,55-59,Malaysia,2143
2014,55-59,Melaka,125
2014,55-59,Negeri Sembilan,67
2014,55-59,Pahang,74
2014,55-59,Perak,163
2014,55-59,Pulau Pinang,306
2014,55-59,Sabah,111
2014,55-59,Sarawak,258
2014,55-59,Selangor,110
2014,55-59,Terengganu,16
2014,55-59,W.P. Kuala Lumpur,503
2014,60-64,Johor,28
2014,60-64,Kedah,14
2014,60-64,Kelantan,8
2014,60-64,Malaysia,220
2014,60-64,Melaka,11
2014,60-64,Negeri Sembilan,6
2014,60-64,Pahang,2
2014,60-64,Perak,13
2014,60-64,Pulau Pinang,66
2014,60-64,Sabah,13
2014,60-64,Sarawak,25
2014,60-64,Selangor,6
2014,60-64,Terengganu,1
2014,60-64,W.P. Kuala Lumpur,27
2015,17-24,Johor,5113
2015,17-24,Kedah,11522
2015,17-24,Kelantan,5352
2015,17-24,Malaysia,89414
2015,17-24,Melaka,5811
2015,17-24,Negeri Sembilan,3418
2015,17-24,Pahang,3168
2015,17-24,Perak,8821
2015,17-24,Pulau Pinang,6194
2015,17-24,Sabah,3518
2015,17-24,Sarawak,4274
2015,17-24,Selangor,3693
2015,17-24,Terengganu,4529
2015,17-24,W.P. Kuala Lumpur,24001
2015,25-29,Johor,2107
2015,25-29,Kedah,2323
2015,25-29,Kelantan,852
2015,25-29,Malaysia,26713
2015,25-29,Melaka,1275
2015,25-29,Negeri Sembilan,754
2015,25-29,Pahang,494
2015,25-29,Perak,1661
2015,25-29,Pulau Pinang,2684
2015,25-29,Sabah,1477
2015,25-29,Sarawak,1837
2015,25-29,Selangor,1355
2015,25-29,Terengganu,596
2015,25-29,W.P. Kuala Lumpur,9298
2015,30-34,Johor,1872
2015,30-34,Kedah,1830
2015,30-34,Kelantan,653
2015,30-34,Malaysia,22121
2015,30-34,Melaka,1036
2015,30-34,Negeri Sembilan,647
2015,30-34,Pahang,468
2015,30-34,Perak,1419
2015,30-34,Pulau Pinang,2688
2015,30-34,Sabah,1148
2015,30-34,Sarawak,1598
2015,30-34,Selangor,1112
2015,30-34,Terengganu,394
2015,30-34,W.P. Kuala Lumpur,7256
2015,35-39,Johor,1445
2015,35-39,Kedah,1373
2015,35-39,Kelantan,475
2015,35-39,Malaysia,16796
2015,35-39,Melaka,749
2015,35-39,Negeri Sembilan,486
2015,35-39,Pahang,292
2015,35-39,Perak,1090
2015,35-39,Pulau Pinang,2360
2015,35-39,Sabah,830
2015,35-39,Sarawak,1356
2015,35-39,Selangor,907
2015,35-39,Terengganu,254
2015,35-39,W.P. Kuala Lumpur,5179
2015,40-44,Johor,1018
2015,40-44,Kedah,1049
2015,40-44,Kelantan,410
2015,40-44,Malaysia,12060
2015,40-44,Melaka,582
2015,40-44,Negeri Sembilan,380
2015,40-44,Pahang,243
2015,40-44,Perak,809
2015,40-44,Pulau Pinang,1759
2015,40-44,Sabah,553
2015,40-44,Sarawak,1100
2015,40-44,Selangor,602
2015,40-44,Terengganu,188
2015,40-44,W.P. Kuala Lumpur,3367
2015,45-49,Johor,678
2015,45-49,Kedah,708
2015,45-49,Kelantan,294
2015,45-49,Malaysia,8450
2015,45-49,Melaka,440
2015,45-49,Negeri Sembilan,313
2015,45-49,Pahang,218
2015,45-49,Perak,526
2015,45-49,Pulau Pinang,1218
2015,45-49,Sabah,410
2015,45-49,Sarawak,900
2015,45-49,Selangor,458
2015,45-49,Terengganu,134
2015,45-49,W.P. Kuala Lumpur,2153
2015,50-54,Johor,402
2015,50-54,Kedah,508
2015,50-54,Kelantan,152
2015,50-54,Malaysia,5020
2015,50-54,Melaka,276
2015,50-54,Negeri Sembilan,215
2015,50-54,Pahang,180
2015,50-54,Perak,390
2015,50-54,Pulau Pinang,403
2015,50-54,Sabah,240
2015,50-54,Sarawak,611
2015,50-54,Selangor,245
2015,50-54,Terengganu,100
2015,50-54,W.P. Kuala Lumpur,1298
2015,55-59,Johor,175
2015,55-59,Kedah,217
2015,55-59,Kelantan,96
2015,55-59,Malaysia,2222
2015,55-59,Melaka,147
2015,55-59,Negeri Sembilan,92
2015,55-59,Pahang,67
2015,55-59,Perak,174
2015,55-59,Pulau Pinang,96
2015,55-59,Sabah,112
2015,55-59,Sarawak,299
2015,55-59,Selangor,110
2015,55-59,Terengganu,53
2015,55-59,W.P. Kuala Lumpur,584
2015,60-64,Johor,31
2015,60-64,Kedah,16
2015,60-64,Kelantan,8
2015,60-64,Malaysia,221
2015,60-64,Melaka,13
2015,60-64,Negeri Sembilan,19
2015,60-64,Pahang,14
2015,60-64,Perak,22
2015,60-64,Pulau Pinang,7
2015,60-64,Sabah,13
2015,60-64,Sarawak,24
2015,60-64,Selangor,5
2015,60-64,Terengganu,2
2015,60-64,W.P. Kuala Lumpur,47
2016,17-24,Johor,4305
2016,17-24,Kedah,9803
2016,17-24,Kelantan,4267
2016,17-24,Malaysia,83291
2016,17-24,Melaka,5712
2016,17-24,Negeri Sembilan,2845
2016,17-24,Pahang,2501
2016,17-24,Perak,8522
2016,17-24,Pulau Pinang,5280
2016,17-24,Sabah,4062
2016,17-24,Sarawak,3503
2016,17-24,Selangor,3654
2016,17-24,Terengganu,4521
2016,17-24,W.P. Kuala Lumpur,24316
2016,25-29,Johor,1584
2016,25-29,Kedah,2212
2016,25-29,Kelantan,753
2016,25-29,Malaysia,24510
2016,25-29,Melaka,1149
2016,25-29,Negeri Sembilan,794
2016,25-29,Pahang,412
2016,25-29,Perak,1687
2016,25-29,Pulau Pinang,2251
2016,25-29,Sabah,1840
2016,25-29,Sarawak,1529
2016,25-29,Selangor,1282
2016,25-29,Terengganu,480
2016,25-29,W.P. Kuala Lumpur,8537
2016,30-34,Johor,1456
2016,30-34,Kedah,1734
2016,30-34,Kelantan,572
2016,30-34,Malaysia,20390
2016,30-34,Melaka,942
2016,30-34,Negeri Sembilan,694
2016,30-34,Pahang,382
2016,30-34,Perak,1526
2016,30-34,Pulau Pinang,2189
2016,30-34,Sabah,1636
2016,30-34,Sarawak,1204
2016,30-34,Selangor,1099
2016,30-34,Terengganu,379
2016,30-34,W.P. Kuala Lumpur,6577
2016,35-39,Johor,1092
2016,35-39,Kedah,1288
2016,35-39,Kelantan,448
2016,35-39,Malaysia,15648
2016,35-39,Melaka,678
2016,35-39,Negeri Sembilan,533
2016,35-39,Pahang,321
2016,35-39,Perak,1049
2016,35-39,Pulau Pinang,1879
2016,35-39,Sabah,1410
2016,35-39,Sarawak,965
2016,35-39,Selangor,895
2016,35-39,Terengganu,281
2016,35-39,W.P. Kuala Lumpur,4809
2016,40-44,Johor,854
2016,40-44,Kedah,998
2016,40-44,Kelantan,375
2016,40-44,Malaysia,11191
2016,40-44,Melaka,506
2016,40-44,Negeri Sembilan,435
2016,40-44,Pahang,224
2016,40-44,Perak,789
2016,40-44,Pulau Pinang,1309
2016,40-44,Sabah,1058
2016,40-44,Sarawak,691
2016,40-44,Selangor,603
2016,40-44,Terengganu,174
2016,40-44,W.P. Kuala Lumpur,3175
2016,45-49,Johor,558
2016,45-49,Kedah,652
2016,45-49,Kelantan,258
2016,45-49,Malaysia,7541
2016,45-49,Melaka,383
2016,45-49,Negeri Sembilan,273
2016,45-49,Pahang,167
2016,45-49,Perak,607
2016,45-49,Pulau Pinang,891
2016,45-49,Sabah,735
2016,45-49,Sarawak,506
2016,45-49,Selangor,414
2016,45-49,Terengganu,137
2016,45-49,W.P. Kuala Lumpur,1960
2016,50-54,Johor,350
2016,50-54,Kedah,444
2016,50-54,Kelantan,176
2016,50-54,Malaysia,4686
2016,50-54,Melaka,261
2016,50-54,Negeri Sembilan,244
2016,50-54,Pahang,128
2016,50-54,Perak,392
2016,50-54,Pulau Pinang,386
2016,50-54,Sabah,545
2016,50-54,Sarawak,329
2016,50-54,Selangor,223
2016,50-54,Terengganu,69
2016,50-54,W.P. Kuala Lumpur,1139
2016,55-59,Johor,153
2016,55-59,Kedah,209
2016,55-59,Kelantan,87
2016,55-59,Malaysia,2202
2016,55-59,Melaka,133
2016,55-59,Negeri Sembilan,100
2016,55-59,Pahang,53
2016,55-59,Perak,186
2016,55-59,Pulau Pinang,134
2016,55-59,Sabah,293
2016,55-59,Sarawak,169
2016,55-59,Selangor,108
2016,55-59,Terengganu,43
2016,55-59,W.P. Kuala Lumpur,534
2016,60-64,Johor,26
2016,60-64,Kedah,23
2016,60-64,Kelantan,11
2016,60-64,Malaysia,209
2016,60-64,Melaka,18
2016,60-64,Negeri Sembilan,15
2016,60-64,Pahang,2
2016,60-64,Perak,17
2016,60-64,Pulau Pinang,7
2016,60-64,Sabah,24
2016,60-64,Sarawak,17
2016,60-64,Selangor,10
2016,60-64,Terengganu,3
2016,60-64,W.P. Kuala Lumpur,36
2017,17-24,Johor,4933
2017,17-24,Kedah,10007
2017,17-24,Kelantan,2
2017,17-24,Malaysia,75822
2017,17-24,Melaka,5334
2017,17-24,Negeri Sembilan,2459
2017,17-24,Pahang,2021
2017,17-24,Perak,7998
2017,17-24,Pulau Pinang,5136
2017,17-24,Sabah,4642
2017,17-24,Sarawak,3337
2017,17-24,Selangor,3621
2017,17-24,Terengganu,3853
2017,17-24,W.P. Kuala Lumpur,22479
2017,25-29,Johor,1870
2017,25-29,Kedah,2086
2017,25-29,Kelantan,1
2017,25-29,Malaysia,22659
2017,25-29,Melaka,1150
2017,25-29,Negeri Sembilan,713
2017,25-29,Pahang,347
2017,25-29,Perak,1503
2017,25-29,Pulau Pinang,1853
2017,25-29,Sabah,2012
2017,25-29,Sarawak,1370
2017,25-29,Selangor,1308
2017,25-29,Terengganu,579
2017,25-29,W.P. Kuala Lumpur,7867
2017,30-34,Johor,1504
2017,30-34,Kedah,1700
2017,30-34,Kelantan,2
2017,30-34,Malaysia,18556
2017,30-34,Melaka,884
2017,30-34,Negeri Sembilan,569
2017,30-34,Pahang,345
2017,30-34,Perak,1302
2017,30-34,Pulau Pinang,1569
2017,30-34,Sabah,1725
2017,30-34,Sarawak,1038
2017,30-34,Selangor,1091
2017,30-34,Terengganu,424
2017,30-34,W.P. Kuala Lumpur,6403
2017,35-39,Johor,1266
2017,35-39,Kedah,1362
2017,35-39,Kelantan,1
2017,35-39,Malaysia,15262
2017,35-39,Melaka,730
2017,35-39,Negeri Sembilan,553
2017,35-39,Pahang,280
2017,35-39,Perak,1104
2017,35-39,Pulau Pinang,1415
2017,35-39,Sabah,1392
2017,35-39,Sarawak,884
2017,35-39,Selangor,947
2017,35-39,Terengganu,335
2017,35-39,W.P. Kuala Lumpur,4993
2017,40-44,Johor,931
2017,40-44,Kedah,942
2017,40-44,Kelantan,0
2017,40-44,Malaysia,10617
2017,40-44,Melaka,522
2017,40-44,Negeri Sembilan,429
2017,40-44,Pahang,198
2017,40-44,Perak,787
2017,40-44,Pulau Pinang,1037
2017,40-44,Sabah,985
2017,40-44,Sarawak,686
2017,40-44,Selangor,592
2017,40-44,Terengganu,210
2017,40-44,W.P. Kuala Lumpur,3298
2017,45-49,Johor,638
2017,45-49,Kedah,619
2017,45-49,Kelantan,1
2017,45-49,Malaysia,7150
2017,45-49,Melaka,370
2017,45-49,Negeri Sembilan,303
2017,45-49,Pahang,162
2017,45-49,Perak,612
2017,45-49,Pulau Pinang,695
2017,45-49,Sabah,704
2017,45-49,Sarawak,483
2017,45-49,Selangor,403
2017,45-49,Terengganu,175
2017,45-49,W.P. Kuala Lumpur,1985
2017,50-54,Johor,401
2017,50-54,Kedah,415
2017,50-54,Kelantan,0
2017,50-54,Malaysia,4409
2017,50-54,Melaka,262
2017,50-54,Negeri Sembilan,205
2017,50-54,Pahang,111
2017,50-54,Perak,390
2017,50-54,Pulau Pinang,288
2017,50-54,Sabah,494
2017,50-54,Sarawak,307
2017,50-54,Selangor,236
2017,50-54,Terengganu,109
2017,50-54,W.P. Kuala Lumpur,1191
2017,55-59,Johor,211
2017,55-59,Kedah,210
2017,55-59,Kelantan,0
2017,55-59,Malaysia,2165
2017,55-59,Melaka,122
2017,55-59,Negeri Sembilan,116
2017,55-59,Pahang,46
2017,55-59,Perak,204
2017,55-59,Pulau Pinang,97
2017,55-59,Sabah,266
2017,55-59,Sarawak,160
2017,55-59,Selangor,103
2017,55-59,Terengganu,63
2017,55-59,W.P. Kuala Lumpur,567
2017,60-64,Johor,28
2017,60-64,Kedah,14
2017,60-64,Kelantan,0
2017,60-64,Malaysia,190
2017,60-64,Melaka,11
2017,60-64,Negeri Sembilan,15
2017,60-64,Pahang,6
2017,60-64,Perak,18
2017,60-64,Pulau Pinang,4
2017,60-64,Sabah,22
2017,60-64,Sarawak,18
2017,60-64,Selangor,7
2017,60-64,Terengganu,3
2017,60-64,W.P. Kuala Lumpur,44
2018,17-24,Johor,4437
2018,17-24,Kedah,9472
2018,17-24,Kelantan,4605
2018,17-24,Malaysia,77359
2018,17-24,Melaka,4652
2018,17-24,Negeri Sembilan,2494
2018,17-24,Pahang,1089
2018,17-24,Perak,7617
2018,17-24,Pulau Pinang,4694
2018,17-24,Sabah,3928
2018,17-24,Sarawak,3312
2018,17-24,Selangor,3456
2018,17-24,Terengganu,4483
2018,17-24,W.P. Kuala Lumpur,23120
2018,25-29,Johor,1889
2018,25-29,Kedah,1917
2018,25-29,Kelantan,678
2018,25-29,Malaysia,23202
2018,25-29,Melaka,1121
2018,25-29,Negeri Sembilan,596
2018,25-29,Pahang,316
2018,25-29,Perak,1500
2018,25-29,Pulau Pinang,1732
2018,25-29,Sabah,1785
2018,25-29,Sarawak,1398
2018,25-29,Selangor,1233
2018,25-29,Terengganu,618
2018,25-29,W.P. Kuala Lumpur,8419
2018,30-34,Johor,1643
2018,30-34,Kedah,1793
2018,30-34,Kelantan,566
2018,30-34,Malaysia,19367
2018,30-34,Melaka,843
2018,30-34,Negeri Sembilan,484
2018,30-34,Pahang,246
2018,30-34,Perak,1431
2018,30-34,Pulau Pinang,1580
2018,30-34,Sabah,1585
2018,30-34,Sarawak,1089
2018,30-34,Selangor,1034
2018,30-34,Terengganu,450
2018,30-34,W.P. Kuala Lumpur,6623
2018,35-39,Johor,1403
2018,35-39,Kedah,1451
2018,35-39,Kelantan,490
2018,35-39,Malaysia,16714
2018,35-39,Melaka,798
2018,35-39,Negeri Sembilan,459
2018,35-39,Pahang,231
2018,35-39,Perak,1279
2018,35-39,Pulau Pinang,1463
2018,35-39,Sabah,1357
2018,35-39,Sarawak,899
2018,35-39,Selangor,925
2018,35-39,Terengganu,401
2018,35-39,W.P. Kuala Lumpur,5558
2018,40-44,Johor,1051
2018,40-44,Kedah,973
2018,40-44,Kelantan,349
2018,40-44,Malaysia,11515
2018,40-44,Melaka,511
2018,40-44,Negeri Sembilan,333
2018,40-44,Pahang,177
2018,40-44,Perak,882
2018,40-44,Pulau Pinang,1035
2018,40-44,Sabah,964
2018,40-44,Sarawak,696
2018,40-44,Selangor,607
2018,40-44,Terengganu,279
2018,40-44,W.P. Kuala Lumpur,3658
2018,45-49,Johor,712
2018,45-49,Kedah,676
2018,45-49,Kelantan,240
2018,45-49,Malaysia,7868
2018,45-49,Melaka,356
2018,45-49,Negeri Sembilan,242
2018,45-49,Pahang,132
2018,45-49,Perak,628
2018,45-49,Pulau Pinang,700
2018,45-49,Sabah,677
2018,45-49,Sarawak,561
2018,45-49,Selangor,456
2018,45-49,Terengganu,188
2018,45-49,W.P. Kuala Lumpur,2300
